type,basis,frontage-by-depth,width,depth,price-ea
flat,20,180mm x 120mm,9,6,4.20
flat,20,200mm x 120mm,10,6,4.65
flat,20,220mm x 120mm,11,6,5.10
flat,20,240mm x 120mm,12,6,5.60
flat,25,75mm x 25mm,3,1,0.40
flat,25,100mm x 25mm,4,1,0.45
flat,25,125mm x 25mm,5,1,0.65
flat,25,150mm x 25mm,6,1,0.70
flat,25,175mm x 25mm,7,1,0.85
flat,25,200mm x 25mm,8,1,0.90
flat,25,225mm x 25mm,9,1,1.10
flat,25,250mm x 25mm,10,1,1.15
flat,25,50mm x 50mm,3,2,0.35
flat,25,75mm x 50mm,3,2,0.50
flat,25,100mm x 50mm,4,2,0.90
flat,25,125mm x 50mm,5,2,1.15
flat,25,150mm x 50mm,6,2,1.50
flat,25,175mm x 50mm,7,2,1.70
flat,25,200mm x 50mm,8,2,1.95
flat,25,225mm x 50mm,9,2,2.20
flat,25,250mm x 50mm,10,2,2.40
flat,25,75mm x 75mm,3,3,1.10
flat,25,100mm x 75mm,4,3,1.45
flat,25,125mm x 75mm,5,3,1.85
flat,25,150mm x 75mm,6,3,2.20
flat,25,175mm x 75mm,7,3,2.55
flat,25,200mm x 75mm,8,3,2.95
flat,25,225mm x 75mm,9,3,3.20
flat,25,250mm x 75mm,10,3,3.70
flat,25,100mm x 100mm,4,4,1.95
flat,25,125mm x 100mm,5,4,2.40
flat,25,150mm x 100mm,6,4,2.95
flat,25,175mm x 100mm,7,4,3.45
flat,25,200mm x 100mm,8,4,3.90
flat,25,225mm x 100mm,9,4,4.30
flat,25,250mm x 100mm,10,4,4.80
flat,25,125mm x 125mm,5,5,3.05
flat,25,150mm x 125mm,6,5,3.70
flat,25,175mm x 125mm,7,5,4.25
flat,25,200mm x 125mm,8,5,4.90
flat,25,225mm x 125mm,9,5,5.40
flat,25,250mm x 125mm,10,5,6.05

